com_address,coordinates
"Bokod, Benguet","(16.4996395111084, 120.67958068847656)"
"San Jose, Romblon","(12.057769775390625, 121.9454116821289)"
"Talisay, Cebu","(10.253809928894043, 123.82971954345703)"
"Burauen, Leyte","(10.977359771728516, 124.89405822753906)"
"Mogpog, Marinduque","(13.474069595336914, 121.86199188232422)"
"Cuyapo, Nueva Ecija","(15.780540466308594, 120.68450164794922)"
"Datu Odin Sinsuat, Maguindanao","(7.1158599853515625, 124.2336196899414)"
"Tayasan, Negros Oriental","(9.92490005493164, 123.17147064208984)"
"Manabo, Abra","(17.430099487304688, 120.70513916015625)"
"Santo Tomas, Pangasinan","(15.867959976196289, 120.56855773925781)"
"Quezon, Nueva Ecija","(15.578189849853516, 120.83193969726562)"
"Dinalupihan, Bataan","(14.867119789123535, 120.45641326904297)"
"Catarman, Northern Samar","(12.434229850769043, 124.63760375976562)"
"Milaor, Camarines Sur","(13.595259666442871, 123.17549896240234)"
"Pagadian City, Zamboanga del Sur","(7.823619842529297, 123.43341827392578)"
"San Juan, La Union","(16.669340133666992, 120.33696746826172)"
"Mataasnakahoy, Batangas","(13.979570388793945, 121.09600067138672)"
"Puerto Princesa City, Palawan","(9.740010261535645, 118.74420928955078)"
"San Fabian, Pangasinan","(16.1226806640625, 120.40249633789062)"
"Binalonan, Pangasinan","(16.04615020751953, 120.59097290039062)"
"Paete, Laguna","(14.364350318908691, 121.47881317138672)"
"San Jose, Batangas","(13.754590034484863, 121.11344909667969)"
"Victoria, Tarlac","(15.573699951171875, 120.67591094970703)"
"Tagudin, Ilocos Sur","(16.937179565429688, 120.44450378417969)"
"Sablayan, Occidental Mindoro","(12.841150283813477, 120.77526092529297)"
"Consolacion, Cebu","(10.375550270080566, 123.95648193359375)"
"T'Boli, South Cotabato","(6.2274699211120605, 124.8186264038086)"
"Naguilian, La Union","(16.53087043762207, 120.39116668701172)"
"Padre Garcia, Batangas","(13.877429962158203, 121.2138900756836)"
"Talisay, Batangas","(14.092740058898926, 121.0206527709961)"
"Pitogo, Quezon","(13.819330215454102, 122.09915161132812)"
"La Carlota City, Negros Occidental","(10.423489570617676, 122.92109680175781)"
"Cabagan, Isabela","(17.427610397338867, 121.77298736572266)"
"Guimba, Nueva Ecija","(15.659589767456055, 120.76680755615234)"
"Mabini, Batangas","(13.730649948120117, 120.9327392578125)"
"Banga, South Cotabato","(6.427810192108154, 124.76924896240234)"
"Cordova, Cebu","(10.251890182495117, 123.94940185546875)"
"Urbiztondo, Pangasinan","(15.82291030883789, 120.3302001953125)"
"Paoay, Ilocos Norte","(18.062589645385742, 120.51988983154297)"
"Quezon, Quezon","(14.03931999206543, 122.10717010498047)"
"Mambusao, Capiz","(11.452739715576172, 122.59330749511719)"
"Digos, Davao del Sur","(6.755099773406982, 125.35575103759766)"
"Famy, Laguna","(14.436920166015625, 121.4497299194336)"
"Matanao, Davao del Sur","(6.753499984741211, 125.26432800292969)"
"Licab, Nueva Ecija","(15.543729782104492, 120.76289367675781)"
"Angat, Bulacan","(14.971280097961426, 121.06350708007812)"
"Batac, Ilocos Norte","(18.059249877929688, 120.55850982666016)"
"Midsayap, North Cotabato","(7.203750133514404, 124.54170227050781)"
"San Gabriel, La Union","(16.674640655517578, 120.40032196044922)"
"Libacao, Aklan","(11.443070411682129, 122.33187103271484)"
"Labangan, Zamboanga del Sur","(7.8578901290893555, 123.50238037109375)"
"Malay, Aklan","(11.89995002746582, 121.90978240966797)"
"San Rafael, Bulacan","(14.983229637145996, 120.92723083496094)"
"Mangaldan, Pangasinan","(16.069900512695312, 120.4039306640625)"
"Lopez, Quezon","(13.91254997253418, 122.2828369140625)"
"Apalit, Pampanga","(14.945249557495117, 120.75811004638672)"
"Panganiban, Catanduanes","(13.896860122680664, 124.275390625)"
"Calbayog City, Samar","(12.197509765625, 124.57819366455078)"
"Burgos, La Union","(16.52284049987793, 120.45465087890625)"
"Pantukan, Compostela Valley","(7.1554999351501465, 125.89289093017578)"
"Bustos, Bulacan","(14.954310417175293, 120.9186782836914)"
"General Santos City, South Cotabato","(6.118869781494141, 125.17414855957031)"
"Pagbilao, Quezon","(13.970600128173828, 121.68372344970703)"
"Dumalinao, Zamboanga del Sur","(7.817249774932861, 123.36322784423828)"
"Infanta, Quezon","(14.738710403442383, 121.64379119873047)"
"San Antonio, Zambales","(14.947790145874023, 120.09033203125)"
"Sipocot, Camarines Sur","(13.766850471496582, 123.0241470336914)"
"Lobo, Batangas","(13.64799976348877, 121.21041870117188)"
"Echague, Isabela","(16.708820343017578, 121.66983032226562)"
"Tiaong, Quezon","(13.959670066833496, 121.32261657714844)"
"Mawab, Compostela Valley","(7.509069919586182, 125.91741943359375)"
"Tacloban City, Leyte","(11.269379615783691, 124.96446990966797)"
"San Jose, Occidental Mindoro","(12.352919578552246, 121.0660400390625)"
"Bacacay, Albay","(13.290800094604492, 123.78914642333984)"
"Laur, Nueva Ecija","(15.586339950561523, 121.18438720703125)"
"Asingan, Pangasinan","(16.007369995117188, 120.68634033203125)"
"Carmona, Cavite","(14.314410209655762, 121.05980682373047)"
"Tacurong, Sultan Kudarat","(6.6882500648498535, 124.67826843261719)"
"Calaca, Batangas","(13.93986988067627, 120.79039001464844)"
"San Pascual, Batangas","(13.822839736938477, 120.9935531616211)"
"Cabiao, Nueva Ecija","(15.244950294494629, 120.85614013671875)"
"Mahinog, Camiguin","(9.155699729919434, 124.78852081298828)"
"Magalang, Pampanga","(15.214679718017578, 120.66178894042969)"
"Libmanan, Camarines Sur","(13.668800354003906, 123.01016998291016)"
"Basista, Pangasinan","(15.858819961547852, 120.3990707397461)"
"San Enrique, Iloilo","(11.074760437011719, 122.6742935180664)"
"Lutayan, Sultan Kudarat","(6.537740230560303, 124.87181091308594)"
"San Nicolas, Pangasinan","(16.068979263305664, 120.76171875)"
"Panglao, Bohol","(9.580840110778809, 123.75224304199219)"
"San Leonardo, Nueva Ecija","(15.314729690551758, 120.95089721679688)"
"Malinao, Albay","(13.395130157470703, 123.7048568725586)"
"Paombong, Bulacan","(14.837360382080078, 120.7834701538086)"
"Subic, Zambales","(14.904040336608887, 120.23261260986328)"
"Cauayan, Isabela","(16.93524932861328, 121.76654052734375)"
"Atimonan, Quezon","(13.996509552001953, 121.91509246826172)"
"Pandi, Bulacan","(14.865530014038086, 120.95796966552734)"
"Enrique B. Magalona, Negros Occidental","(10.881819725036621, 123.00212860107422)"
"Gerona, Tarlac","(15.606760025024414, 120.59809875488281)"
"Puerto Galera, Oriental Mindoro","(13.499640464782715, 120.95464324951172)"
"Laoag City, Ilocos Norte","(18.198970794677734, 120.59564208984375)"
"San Carlos City, Pangasinan","(15.925740242004395, 120.34803009033203)"
"Taal, Batangas","(13.88263988494873, 120.95291900634766)"
"Cabangan, Zambales","(15.158340454101562, 120.05525207519531)"
"Tanay, Rizal","(14.500659942626953, 121.28394317626953)"
"Santiago, Isabela","(16.688140869140625, 121.54991912841797)"
"Pio Duran, Albay","(13.043490409851074, 123.45394134521484)"
"Altavas, Aklan","(11.537210464477539, 122.4803466796875)"
"Tubod, Lanao del Norte","(8.048219680786133, 123.79876708984375)"
"Rizal, Nueva Ecija","(15.704350471496582, 121.09825134277344)"
"Koronadal, South Cotabato","(6.500229835510254, 124.8437271118164)"
"Gattaran, Cagayan","(18.067480087280273, 121.64473724365234)"
"San Agustin, Isabela","(16.471359252929688, 121.76084899902344)"
"Zaragoza, Nueva Ecija","(15.447270393371582, 120.78733825683594)"
"Ibajay, Aklan","(11.791810035705566, 122.19918823242188)"
"Bongabong, Oriental Mindoro","(12.747690200805664, 121.4849624633789)"
"Bayombong, Nueva Vizcaya","(16.48487091064453, 121.14063262939453)"
"Rosario, Batangas","(13.845430374145508, 121.20654296875)"
"Jamindan, Capiz","(11.410980224609375, 122.51732635498047)"
